#,Item No.,Item Description,In Stock,Committed,Ordered,Available,Inventory UoM
6212,KERPEPNSRS10120,P.E. PIUR NATURAL SAT RECT. 1A SKIRTING 10X120 KERATILE - SPAIN,,,,,PCS
6213,KERPESGS60120,P.E. STAGNONE GOLD SAT. 60X120 RECT. - KERATILE SPAIN,99.36,40.32,,59.04,M2
6214,KERRLG60,R LIVORNO GRIS 59.6x59.6 CM KEROS SPAIN,3.96,,,3.96,M2
6215,KERRLGS1060,R LIVORNO GRIS SKIRTING 10x59.6 CM KEROS SPAIN,,,,,PCS
6216,KERSIMT33100,SANDSTONE IVORY MT 33.3X100 CM - KERATILE SPAIN,1375.13,,,1375.13,M2
6217,KERWABBR2060,WIND ALCOR BROWN BR 20X60 CM-KERATILE SPAIN,112.92,,,112.92,M2
6218,KERZABBR20,ZOCALO ALCOR BROWN BR 20X20 CM- KERATILE SPAIN,6,,,6,PCS
6219,KERZCBBR20,ZOCALO CODE BLANCO BR 20X20 CM- KERATILE SPAIN,37,,,37,PCS
6220,KHAAC80160,ACRON CREMA 80X160 CM - IBIS INDIA,513.308,45.84,,467.468,M2
6221,KHAACS7160,ACRON CREMA SKIRTING 7X160 CM - IBIS INDIA,,,,,PCS
6222,KHACE1080,CALACATA ELITE SKIRTING 10X80 CM IBIS INDIA,,,,,
6223,KHACE15160,CALACATA ELITE SKIRTRING 15X160 CM - IBIS INDIA,,,,,PCS
6224,KHACE1580,CALACATA ELITE SKIRTING 15X80 CM - IBIS INDIA,,,,,PCS
6225,KHACE80160,CALACATA ELITE 80X160 CM - IBIS INDIA,19.96,,,19.96,M2
6226,KHACES33130,CALACATA ELITE PORCELAIN STEP 33X130 CM IBIS SINDIA,,,,,PCS
6227,KHAGOP10X120,GREY OPERA PORCELAIN SKIRTING 10X120 CM - IBIS INDIA,,,,,PCS
6228,KHAGOP60120,GREY OPERA PORCELAIN 60X120 CM - IBIS INDIA,25,,,25,M2
6229,KHAVB80160,BLUE PEARL (VOLGA BLUE) 80X160 CM - IBIS INDIA,20.36,5.12,,15.24,M2
6230,KICJAP11447W3060,JAP11447 WALL 30X60 CM KINGCERAMICS,,,,,M2
6231,KICJAP11467W3060,JAP11467 WALL 30X60 CM KING CERAMIC,16.74,,,16.74,M2
6232,KICJAW07447W3045,JAW07447 WALL 30X45 CM KING CERAMIC,0.14,,,0.14,M2
6233,KICJBP0211463F30,JBP0211463 FLOOR 30X30 CM KINGCERAMICS,371,,,371,M2
6234,KICJBP0211468F30,JBP0211468 FLOOR 30X30 CM KINGCERAMICS,413.37,,,413.37,M2
6235,KICJBP11463W3060,JBP11463 WALL 30X60 CM KINGCERAMICS,240.48,,,240.48,M2
6236,KICJBP11468W3060,JBP11468 WALL 30X60 CM KING CERAMIC,84.24,,,84.24,M2
6237,KICJBW07448W3045,JBW07448 WALL 30X45 CM KING CERAMIC,1.09,,,1.09,M2
6238,KICJX2770PAL730,JX27*70PA*07447*101 LINING 7X30 CM KINGCERAMICS,421,,,421,PCS
6239,KICJX4070GL760,JX40-70G-11447-101 LINING 7X60 CM KING CERAMIC,20,,,20,PCS
6240,KICJZ27AAD3060,JZ27AA-11430-101(JZ27AA-111120-101) DECOR 1PC 30X60 CM KINGCERAMICS,450,,,450,PCS
6241,KICJZ27ACD3060,JZ27AC*11467-101 DECOR 1PC 30X60 CM KING CERAMIC,1,,,1,PCS
6242,KICJZ27APD3060,JZ27AP-11462-101A DECOR 1PC 30X60 CM KINGCERAMICS,85,21,,64,PCS
6243,KICJZ27EAD3045,JZ27EA*07447*101 DECOR 1PC 30X45 CM KING CERAMIC,106,,,106,PCS
6244,KICKAP02111119F30,KAP02111119 FLOOR 30X30 CM KINGCERAMICS,0.09,,,0.09,M2
6245,KICKAP02111120F30,KAP02111120 FLOOR 30X30 CM KINGCERAMICS,0.58,,,0.58,M2
6246,KICKAP07110330405,KAP071103 WALL 30X45 CM KINGCERAMICS,3.87,,,3.87,M2
6247,KICKAP111119W3060,KAP111119 WALL 30X60 CM KINGCERAMICS,0.99,,,0.99,M2
6248,KICKAP1111203060,KAP111120 WALL 30X60 CM KINGCERAMICS,0.18,,,0.18,M2
6249,KICKAP11195W3060,KAP11195 WALL 30X60 CM KINGCERAMICS,0.96,,,0.96,M2
6250,KICKAP11197W3060,KAP11197 WALL 30X60 CM KING CERAMIC,114.68,,,114.68,M2
6251,KICKAR071087W3045,KAR071087 WALL 30X45 CM KING CERAMIC,0.92,,,0.92,M2
6252,KICKAR071088W3045,KAR071088 WALL 30X45 CM KING CERAMIC,13.635,,,13.635,M2
6253,KICKAW11152W3060,KAW11152 WALL 30X60 CM KINGCERAMICS,0.18,,,0.18,M2
6254,KICKBP0211196F30,KBP0211196 FLOOR 30X30 CM KINGCERAMICS,479.81,,,479.81,M2
6255,KICKBP0711043045,KBP071104 WALL 30X45 CM KINGCERAMICS,0.14,,,0.14,M2
6256,KICKBP11196A26W3060,KBP11196 (TONO - A26) WALL 30X60 CM KINGCERAMICS,1,,,1,M2
6257,KICKBP11196W3060,KBP11196 WALL 30X60 CM KINGCERAMICS,340.98,,,340.98,M2
6258,KICKBP11198W3060,KBP11198 WALL 30X60 CM KINGCERAMICS,0.18,,,0.18,M2
6259,KICKBW071096W3045,KBW071096 WALL 30X45 CM KING CERAMIC,0.14,,,0.14,M2
6260,KICKX27L0530,KX27*50BD*11152*102 LINING 5X30 CM KINGCERAMICS,172,,,172,PCS
6261,KICKZ01BAD3060,KZ01BA-11197-101 DECOR 30X60 CM KINGCERAMICS,1,,,1,PCS
6262,KICKZ27BAD3045,KZ27BA071022-101 DECOR KITCHEN 1PC 30X45 KING CERAMIC,73,,,73,PCS
6263,KICKZ31AND18060,KZ31AN*11195*601 DECOR 6PCS SET 180X60 CM KINGCERAMICS,44,,,44,SET
6264,KICKZ35BMD3045,KZ35BM*071103*101 DECOR 30X45 CM KINGCERAMICS,200,,,200,PCS
6265,KICNAP11A433060,NAP11A43 WALL 30X60 CM KINGCERAMICS,0.18,,,0.18,M2
6266,KICNAP11A45W3060,NAP11A45 WALL 30X60 CM KINGCERAMICS,103.8,,,103.8,M2
6267,KICNAP11A59W3060,NAP11A59 WALL 30X60 CM KINGCERAMICS,188.18,,,188.18,M2
6268,KICNAY0879441S3388,NAY0879441 PORCEALIN STEP 33X80 CM KING CERAMIC,22,,,22,PCS
6269,KICNBP0211A4330,NBP0211A43 FLOOR 30X30 CM KING CERAMIC,0.09,,,0.09,M2
6270,KICNBP11A60W3060,NBP11A60 WALL 30X60 CM KINGCERAMICS,0.18,,,0.18,M2
6271,KICNZ03AD11A59A3060,NZ03AD 11A59A 30X60 KING CERAMIC,,,,,PCS
6272,KITMBF3131,MERIDA BEIGE FLOOR 12MM 31.6X31.6 CM KITRA - SPAIN,,,,,M2
6273,KITMMF3131,MERIDA MARFIL FLOOR 31.6X31.6 KITRA - SPAIN,,,,,M2
6274,KITMRF3131,MERIDA ROJO FLOOR 12MM 31.6X31.6 CM KITRA - SPAIN,,,,,M2
6275,KLD282748050001,"2827.4805.0001 CENTRO DUO OVAL BATH 127-7, 70X75X47 - KALDEWEI",,,,,PCS
6276,KLD687772080001,6877.7208.0001 CENTRO DUO WASTE + OVERFLOW K4040 - KALDEWEI,,,,,PCS
6277,KNGHAY087944IS3380,STEP TILES - HAY087944I KING 33X80,,,,,PCS
6278,KNGJAP11462W3060,JAP11462 WALL 30X60 CM KING CERAMIC,0.18,,,0.18,M2
6279,KNGJBP11446W3060,JBP11446 WALL 30X60 CM KINGCERAMICS,0.18,,,0.18,M2
6280,KNGKAP0211198F30,KAP0211198 FLOOR 30X30 CM KINGCERAMICS,,,,,M2
6281,KNGKAP2071096F30,KAP2071096 FLOOR 30X30 CM KINGCERAMICS,255.14,,,255.14,M2
6282,KNGKBP02071104F30,KBP02071104 FLOOR 30X30 CM- CHINA,373.97,,,373.97,M2
6283,KOH11352CP,11352-CP DISPOSAL FLANGE WITH STOPPER - KOHLER,,,,,PCS
6284,KOH1355356,1355356 CONNECTION BOX - KOHLER,,,,,PCS
6285,KOH148007,K-14800-7 VOX ROUND VESSEL BATHROOM SINK KOHLER,5,,,5,PCS
6286,KOH19080INSS0,19080IN-SS-0 PRESQUILE WC BOWL - KOHLER,,,,,PCS
6287,KOH20084INMNP,20084IN-M-NP INSTAFIT + MECHANICAL TANK WITH FULL FRAME - KOHLER,,,,,PCS
6288,KOH22062CP,22062-CP GRAZE PULL-DOWN KITCHEN SINK FAUCET WITH THREE-FUNCTION SPRAY HEAD - KOHLER,,,,,PCS
6289,KOH22977,"K-2297-7 KATHRYN 23-7/8"" X 15-5/8"" X 6-1/4"" UNDER-MOUNT BATHROOM SINK KOHLER",3,,,3,PCS
6290,KOH23390,2339-0 MEMOIRS UNDERCOUNTER LAVATORY KOHLER,,,,,PCS
6291,KOH23856NA,"23856-NA TEA-FOR-TWO 1-1/2"" CABLE POP-UP BATH DRAIN -KOHLER",,,,,PCS
6292,KOH23857CP,23857-CP TEA-FOR-TWO BATH DRAIN TRIM - KOHLER,,,,,PCS
6293,KOH29017INSS0,29017IN-SS-0 PRESQUILE WC SLIM SEAT AND COVER - KOHLER,,,,,PCS
6294,KOH2949T0,2949T-0 FOREFRONT RECTANGULAR UNDER-MOUNT SINK - KOHLER,,,,,PCS
6295,KOH3174LNA,"3174-L-NA UNDERTONE 31-1/2"" X 18' X  9-3/4"" UNDERMOUNT HIGH/LOW DOUBLE BOWL KITCHEN SINK - KOHLER",,,,,PCS
6296,KOH3294NA,"3294-NA HARDWOOD CUTTING BOARD FOR UNDERSTONE CADENCE, IRON/TONES AND TOCCATA KITCHEN SINKS - KOHLER",,,,,PCS
6297,KOH34660,3466-0 SAN RAPHAEL-EB TOILET KOHLER,,,,,PCS
6298,KOH3761NA,"3761-NA STAGES 45"" X 18-1/2"" X 9-13/16"" UNDERMOUNT SINGLE-BOWL WORKSTATION KITCHEN SINK - KOHLER",,,,,PCS
6299,KOH3994K00,3994K-00 PRESQUILE BIDET - KOHLER,,,,,PCS
6300,KOH75823INCP,75823IN-CP WALL-MOUNT BOTTLE TRAP - KOHLER,,,,,PCS
6301,KOH80154IN4CP,80154IN-4-CP JULY ANGLE VALVE - KOHLER,,7,,-7,PCS
6302,KOH852H20,"852-H2-0 TEA-FOR-TWO 60"" X 32"" DROP-IN WHIRLPOOL BATH - KOHLER",,,,,PCS
6303,KOH8630,"863-0 TEA-FOR-TWO 71-3/4"" X 36"" DROP-IN BATH WITH END DRAIN - KOHLER",,,,,PCS
6304,KOH8798INUF0,8798IN-UF-0 PRESQUILE WC SEAT & COVER - KOHLER,,,,,PCS
6305,KOH8801CP,K-8801-CP DUOSTRAINER SINK DRAIN AND STRAINER WITH TAILPIECE - KOHLER,,,,,PCS
6306,KOH8857INMCP,8857IN-M-CP BEVEL DUAL FLUSH PLATE - KOHLER,,,,,PCS
6307,KOH9453PB,9453-PB SAN RAPHAL TOILET TRIP LEVER KOHLER,4,,,4,PCS
6308,KOH9696CP,9696-CP FLEXJET WHIRLPOOL TRIM KIT WITH SIX JETS - KOHLER,,,,,PCS
6309,KOH97363T4CP,97363T-4-CP AVID DECK-MOUNT BATH FAUCET - KOHLER,,,,,PCS
6310,KOH97364TB9CP,97364T-B9-CP AVID DECK-MOUNT DIVERTER & HAND SHOWER - KOHLER,,,,,PCS
6311,KOH98100MECP,98100ME-CP CUFF HAND SHATAF - KOHLER,,,,,PCS
6312,KOHC1018840,"C1018840 BRASS NUT 1/2""M X 3/4""F KOHLER",,,,,PCS
6313,KOHC73973,"C73973 BRASS NUT W15/16"" M*M1/2""FKOHLER",,,,,PCS
6314,KOHC82958,C82958 FLANGE KIT-PCV-INTL WC KOHLER,,,,,PCS
6315,KOHK100949CP,K10094-9-CP OBLO TALL WIDE SPREAD LAVATORY FAUCET KOHLER,1,,,1,PCS
6316,KOHK100EX0,K100-EX-0 BIRTHDAY BATH CAST IRON FREESTANDING KOHLER,,,,,PCS
6317,KOHK1018840,K-1018840 ADAPTOR-KOHLER,,,,,PCS
6318,KOHK102PB,K102-PB ANTIQUE BALL & CLAW LEGS KOHLER,,,,,PCS
6319,KOHK106PB,"K106-PB ANTIQUE BATH DRAIN,CHAIN & RUBBER STOPPER KOHLER",,,,,PCS
6320,KOHK11030,K1103-0 IRON WORKS HISTORIC BALL & CLAW FEET KOHLER,,,,,PCS
6321,KOHK1104PB,K110-4-PB ANTIQUE BATH FAUCET WITH HANDSHOWER AND LEVER KOHLER,,,,,PCS
6322,KOHK1160316BV,K-1160316-BV TRIP LEVER SERVICE KIT BRUSHED BRONZE KOHLER,,,,,PCS
6323,KOHK1160316VF,K-1160316-VF TRIP LEVER SERVICE KIT POLISHED BRASS KOHLER,,,,,PCS
6324,KOHK11748KSNA,K11748-KS-NA RITE-TEMP VALVE WITH DIVERTER WITH STOPS KOHLER,1,,,1,PCS
6325,KOHK1257L0,"K-1257-L-0 MARIPOSA 72""X36"" ALCOVE WHIRLPOOL BATH WITH INTEGRAL FLANGE AND LEFT-HAND DRAIN - KOHLER",,,,,PCS
6326,KOHK127810,"K-12781-0 BRACKET-MOUNTED SCRUB-UP SINK 30""X22""-KOHLER",,,,,PCS
6327,KOHK128PB,K128-PB ANTIQUE BATH FAUCET RISER TUBES KOHLER,,,,,PCS
6328,KOHK13688BGD,"K13688-BGD KOHLER 8"" CONTEMPORARY ROUND RAIN SHOWERHEAD KOHLER",,,,,PCS
6329,KOHK14046BU96,K14046-BU-96 MARRAKESH DESIGN ON CAMBER UNDERCOUNTER KOHLER,,,,,PCS
6330,KOHK14174PD0,K14174-PD-0 LAUREATE DESIGN ON CAXTON UNDERCOUNTER LAV KOHLER,,,,,PCS
6331,KOHK14218FG0,K-14218-FG-0 FLIGHT OF FANCY WITH GOLD CAXTON OVAL UNDERMOUNT BATHROOM SINK - KOHLER,,,,,PCS
6332,KOHK14218FP10,K-14218-FP1-0 SARTORIAL PAISLEY CAXTON OVAL UNDERMOUNT BATHROOM SINK - KOHLER,,,,,PCS
6333,KOHK14218SR20,K-14218-SR2-0 CARAVAN PERSIAN CAXTON - KOHLER,,,,,PCS
6334,KOHK14223SPG9,K-14223-SP-G9 SERPENTINE BRONZE CONICAL BELL - KOHLER,,,,,PCS
6335,KOHK14273SMC0,K-14273-SMC-0 EMPRESS BOUQUET UNDERCOUNTER LAVATORY - KOHLER,,,,,PCS
6336,KOHK14275SMC0,K14275-SMC-0 EMPRESS BOUQET DESIGN ON KATHRYN UNDERCOUNTER KOHLER,,,,,PCS
6337,KOHK14297MP1,K14297-MP1 LILIES LORE NATURES CHEMISTRY KOHLER,,,,,PCS
6338,KOHK1429BPB,K142-9B-PB ANTIQUE BIDET FAUCET OVAL HANDLES VERTICAL SP KOHLER,,,,,PCS
6339,KOHK14346PD0,K14346-PD-0 LAUREATE DESIGN ON GABRIELLE TOILET KOHLER,,,,,PCS
6340,KOHK144024ABGD,K14402-4A-BGD PURIST SINGLE-CONTROL LAVATORY FAUCET KOHLER,,,,,PCS
6341,KOHK14428T4CP,K-14428T-4-CP PURIST DECK-MOUNT BATH FAUCET - KOHLER,,,,,PCS
6342,KOHK148000,K14800-0 VOX ROUND VESSEL KOHLER,1,,,1,PCS
6343,KOHK14910,K-1491-0 BATH/WHIRLPOOL PILLOW REMOVABLE WHITE KOHLER,,,,,PCS
6344,KOHK161094ABV,"K16109-4A-BV REVIVAL 4-HOLE KITCHEN SINK FAUCET WITH 9-3/16"" SPOUT KOHLER",,,,,PCS
6345,KOHK161324APB,K16132-4A-PB REVIVAL VERTICAL SPRAY BIDET FAUCET KOHLER,,,,,PCS
6346,KOHK16140PB,K16140-PB REVIVAL TOWEL RING KOHLER,,,,,PCS
6347,KOHK16141BV,K16141-BV REVIVAL TOILET TISSUE HOLDER KOHLER,,,,,PCS
6348,KOHK16141PB,K16141-PB REVIVAL TOILET TISSUE HOLDER KOHLER,,,,,PCS
6349,KOHK16142BV,K16142-BV REVIVAL SOAP DISH KOHLER,,,,,PCS
6350,KOHK16142PB,K16142-PB REVIVAL SOAP DISH KOHLER,,,,,PCS
6351,KOHK16146BV,K16146-BV REVIVAL ROBE HOOK KOHLER,,,,,PCS
6352,KOHK16146CP,K16146-CP REVIVAL ROBE HOOK KOHLER,,,,,PCS
6353,KOHK16146PB,K16146-PB REVIVAL ROBE HOOK KOHLER,,,,,PCS
6354,KOHK16150PB,"K16150-PB REVIVAL 24"" TOWEL BAR KOHLER",,,,,PCS
6355,KOHK16155PB,K16155-PB REVIVAL THREE-TIER TOWEL SHELF KOHLER,,,,,PCS
6356,KOHK17889RLK8,K17889-RL-K8 DERRING UNDER-MOUNT BATHROOM SINK KOHLER,,,,,PCS
6357,KOHK17889RLRB2,"K-17889-RL-RB2 DERRING UNDER-MOUNT BATHROOM SINK 17""X14"" - KOHLER",,,,,PCS
6358,KOHK17916RLK8,K17916-RL-K8 DERRING DESIGN ON CARILLON WADING POOL KOHLER,,,,,PCS
6359,KOHK1814PNA,"K-1814-P-NA BRACKETS 20""-KOHLER",,,,,PCS
6360,KOHK1894CBV,K1894-C-BV SOAP/LOTION DISPENSER KOHLER,,,,,PCS
6361,KOHK1894CCP,K1894-C-CP SOAP/LOTION DISPENSER  KOHLER,,,,,PCS
6362,KOHK1894CPB,K1894-C-PB SOAP/LOTION DISPENSER KOHLER,,,,,PCS
6363,KOHK1897AF,"K1897-AF LARGE SHOWER BASKET,VIBRANT FRENCH GOLD KOHLER",,,,,PCS
6364,KOHK22140,K2214-0 LADENA UNDERCOUNTER LAVATORY KOHLER,,,,,PCS
6365,KOHK22147,"K-2214-7 LADINA UNDERCOUNTER LAVATORY,BLACK KOHLER",,,,,PCS
6366,KOHK22150,K2215-0 LADENA UNDERCOUNTER LAVATORY KOHLER,,,,,PCS
6367,KOHK232580,K2325-8-0 KATHRYN SELF RIMMING LAVATORY 8CC KOHLER,,,,,PCS
6368,KOHK2340147,K2340-1-47 BANCROFT PEDESTAL BR SINK BOWL W/SINGLE FAUCET HOLE KOHLER,,,,,PCS
6369,KOHK234647,K2346-47 BANCROFT PEDESTAL KOHLER,,,,,PCS
6370,KOHK2361TG7,K-2361-TG7 KALLOS UNDERMOUNT BATHROOM SINK - KOHLER,,,,,PCS
6371,KOHK2393WH,"K2393-WH NATURES CHEMISTRY BOTICELLI VESSELS LAVATORY 17""X17""X5-1/2"" KOHLER",,,,,PCS
6372,KOHK2580,K258-0 ANTIQUE CERAMIC HANDLE INSETS & SKIRTS KOHLER,,,,,PCS
6373,KOHK2809BPB,K280-9B-PB ANTIQUE WIDESPREAD LAVATORY FAUCET KOHLER,,,,,PCS
6374,KOHK2971KSNA,K2971-KS-NA HIGH FLOW TEMP BALANCING VALVE WITH STOPS KOHLER,,,,,PCS
6375,KOHK2975KSNA,"K2975-KS-NA MASTERSHOWER XVII 3/4"" THERMOSTATIC VALVE KOHLER",,,,,PCS
6376,KOHK2977KNA,"K2977-K-NA KOHLER 3/4"" VOLUME CONTROL KOHLER",,,,,PCS
6377,KOHK3164MBV,K316-4M-BV FINIAL TRAD. BIDET FAUCET W/ LEVER HANDLES KOHLER,,,,,PCS
6378,KOHK3388NA,K-3388-NA POISE UNDERMOUNT DOUBLE-EQUAL KITCHEN SINK - KOHLER,,,,,PCS
6379,KOHK37220,K-3722-0 SAN RAPHEAL ONE PC TOILET-KOHLER,,,,,PCS
6380,KOHK3822NA,"K-3822-NA VAULT UNDERMOUNT SINGLE-BOWL MEDIUM KITCHEN SINK 24"" X 18-1/4"" X 9-3/8"" - KOHLER",,,,,PCS
6381,KOHK410KNA,K410-K-NA 2 HANDLE CERAMIC VALVE KOHLER,,,,,PCS
6382,KOHK41970,K4197-0 WELLWORTH ROUND-FRONT BOWL  KOHLER,,,,,PCS
6383,KOHK44340,K4434-0 MEMOIRS STATELY 1.28 GPF TANK KOHLER,,,,,PCS
6384,KOHK46390,K4639-0 CACHET QUIET-CLOSE ROUND-FRONT TOILET SEAT KOHLER,,,,,PCS
6385,KOHK4650A0,K4650-A-0 LUSTRA ELONGATED TOILET SEAT WITH ANTI-MICROBIAL AGENT KOHLER,,,,,PCS
6386,KOHK47330,K4733-0 GLENBURY QUIET CLOSE ELONGATED TOILET SC KOHLER,,,,,PCS
6387,KOHK48410,"K4841-0 WELLWORTH 1.28GPF TANK 14"" ROUGH IN KOHLER",,,,,PCS
6388,KOHK48540,"K4854-0 SAN TROPEZ BIDET,PLUMPED FOR VERTICAL SPRAY BIDET FAUCET KOHLER",,,,,PCS
6389,KOHK48760,K-4876-0 AMARETTO BIDET-SINGLE HOLE KOHLER,,,,,PCS
6390,KOHK48860,K4886-0 MEMOIRS BIDET PLUMPED FOR VER SPRAY BIDET KOHLER,,,,,PCS
6391,KOHK5403B96,K5403-B-96 IRON PLAINS WADING POOL OVAL BR SINK  KOHLER,,,,,PCS
6392,KOHK56260,K5626-0 MEMOIRS COMFORT HEIGHT ELONGATED TOILET BOWL KOHLER,,,,,PCS
6393,KOHK6534447,"K6534-4-47 HAWTHORNE 33""X22-1/8""X8-3/4"" APRON FRONT TILE-IN 2-EQUAL KS KOHLER",,,,,PCS
6394,KOHK70714K00,70174K-00 DRAIN FOR BATHTUB - KOHLER,,,,,PCS
6395,KOHK710WEX0,K710-WEX-0 IRON WORKS HISTORIC BATH - WHITE BLACK KOHLER,,,,,PCS
6396,KOHK7124A2BZ,"K-7124-A-2BZ CLICKER DRAIN WITH OVERFLOW, OIL RUBBED BRONZE KOHLER",1,,,1,PCS
6397,KOHK7124ABGD,K7124-A-BGD POP UP CLICKER DRAIN KOHLER,,,,,PCS
6398,KOHK7129ABV,K7129-A-BV BATHROOM SINK GRID DRAIN W/ OVERFLOW KOHLER,,,,,PCS
6399,KOHK7392BGD,"K7392-BGD 12"" CEILING MOUNT SHOWER ARM KOHLER",,,,,PCS
6400,KOHK7505CP,K-7505-CP PURIST SINGLE-HOLE KITCHEN SINK FAUCET - KOHLER,,,,,PCS
6401,KOHK7605PBV,"K7605-P-BV LAV SPLY 3/8"" PAIR/VERT TUBEKOHLER",,,,,PCS
6402,KOHK7605PPB,"K7605-P-PB LAV SPLY 3/8""PAIR/VERT TUBE  KOHLER",,,,,PCS
6403,KOHK7637BV,"K7637-BV TOILET SUPPLY 3/8"" W/STOP  KOHLER",,,,,PCS
6404,KOHK7637PB,"K7637-PB 3/8"" NPT ANGLE SUPPLY WITH STOP GOLD KOHLER",8,,,8,PCS
6405,KOHK8324CS6,K-8324-CS6 KENSHO VESSEL BATHROOM SINK - KOHLER,,,,,PCS
6406,KOHK8325CS6,K-8325-CS6 KENSHO VESSEL BATHROOM SINK - KOHLER,,,,,PCS
6407,KOHK8520PB,K8520-PB MASTERSHOWER HOTEL HAND SHOWER KIT KOHLER,,,,,PCS
6408,KOHK8801BV,"K-8801-BV SINK STAINER,VIBRANT BRUSHED BRONZE KOHLER",,,,,PCS
6409,KOHK9000CP,"K9000-CP P-TRAP 1.5"" X 1.5"" KOHLER",1,,,1,PCS
6410,KOHK9018BGD,"K9018-BGD P-TRAP 1-1/4""X1-1/4"" W/XTN  KOHLER",,,,,PCS
6411,KOHK9018BV,"K9018-BV P-TRAP 1-1/4""X1-1/4"" W/XTN  KOHLER",,,,,PCS
6412,KOHK9018PB,"K9018-PB  P TRAP 1-1/4""X1-1/4"" W/XTN  KOHLER",,,,,PCS
6413,KOHK9379PB,K9379-PB WELLWORTH TRIP LEVER KOHLER,,,,,PCS
6414,KOHK95069CS6,K-95069-CS6 KENSHO DRAIN COVER - KOHLER,,,,,PCS
6415,KOHK9514BGD,"K9514-BGD MASTER SHOWER 60"" METAL SHOWER HOSE KOHLER",,,,,PCS
6416,KOHK97339NA,K97339-NA MOUNTING BLOCK FOR PURIST OR STILLNESS BATH FILLER KOHLER,,,,,PCS
6417,KOHK973BGD,K973-BGD STILLNESS/PURIST MULTIFUNCTION HANDSHOWER KOHLER,,,,,PCS
6418,KOHK975BGD,K975-BGD STILLNESS ADJUSTABLE WALL MOUNT BRACKET KOHLER,,,,,PCS
6419,KOHK976BGD,K976-BGD STILLNESS PURIST WALL MOUNT SUPPLY KOHLER,,,,,PCS
6420,KOHK97742TNA,"K-97742T-NA LINEAR FLOOR DRAIN,FADE,900MM KOHLER",1,,,1,PCS
6421,KOHKE3992K00,KE-3992K-00 PRESQUILE WALL HUNG WC 55 X38 CM SC REMVBLE SEAT E70016 KOHLER,1,,,1,PCS
6422,KOHKE399400,KE-3994-00 PRESQUILE WALL HUNG BIDET 55X38 CM KOHLER,1,,,1,PCS
6423,KOHKE99183T0,KE-99183T-0 CHALICE OVAL VESSEL LAVATORY W/O FAUCET HOLE KOHLER,,,,,PCS
6424,KOHKE99480T4CP,KE-99480T-4-CP KUMIN KITCHEN SINK MIXER  KOHLER,,,,,PCS
6425,KOHKT144133BGD,KT14413-3-BGD PURIST WIDESPREAD WALL MOUNT BATHROOM SINK FAUCET KOHLER,,,,,PCS
6426,KOHKT144143BGD,KT14414-3-BGD PURIST 2 HANDLE W/M LAVATORY FAUCET TRIM KOHLER,,,,,PCS
6427,KOHKT144233BGD,KT14423-3-BGD PURIST VALVE TRIM WITH CROSS HANDLE KOHLER,,,,,PCS
6428,KOHKT144283BGD,KT14428-3-BGD PURIST DECK-MOUNT BATH FAUCET TRIM FOR HIGH-FLOW VALVE KOHLER,,,,,PCS
6429,KOHKT145013BGD,KT145013BGD PURIST RITE-TEMP PRESSURE BALANCING VALVE TRIM KOHLER,,,,,PCS
6430,KOHKT161754APB,KT16175-4A-PB REVIVAL THERMOSTATIC VALVE TRIM  W/TRADITIONAL KOHLER,,,,,PCS
6431,KOHKT161774APB,KT16177-4A-PB REVIVAL VOLUME CONTROL VALVE TRIM W/TRADITIONAL KOHLER,,,,,PCS
6432,KOHKT3434MBV,KT343-4M-BV FINIAL TRAD. WALL MT LAVATORY FAUCET KOHLER,,,,,PCS
6433,KOHMIRGH40BGD,MI-RGH-40-BGD RIGID HOSE 40CM KOHLER,,,,,PCS
6434,KOHMISCFL,MI-SC FL SCREWS FOR F/FLANGE KOHLER,,,,,PCS
6435,KOHMISCWC,MI-SC W/C SCREWS F/TOILET(PAIR) KOHLER,,,,,PCS
6436,KOHP7206600KL,P72066-00-KL KALLISTA KASOS VESSEL LAVATORY KOHLER,,,,,PCS
6437,KOHR75422TCP,R75422T-CP SQUARE FLOOR DRAIN - KOHLER,,,,,PCS
6438,KOHSS1710BGD,"SS-1710-BGD SCHLOSSER ANGLE VALVE 1/2""X1/2"" KOHLER",,,,,PCS
6439,KOHSS1710BV,"SS-1710-BV SCHLOSSER ANGLE VALVE 1/2""X1/2"" KOHLER",,,,,PCS
6440,KOHTHA7FH52151,TH-A7F.H52.151 MARQUISE NOIR DECOR RIM MOUNTED 3H BM & POP-UP WASTE  KOHLER,,,,,PCS
6441,KOHTHA7FH52181/S,"TH-A7F.H52.181/S MARQUISE NOIR DECOR 1/2"" STYLISED STOP COCK 30CM TUBE KOHLER",,,,,PCS
6442,KOHTHA7FH523205202,"TH-A7F.H52.3205/202 MARQUISE NOIR DECOR /1H BDM,SWIVEL JET,ASENDING SPRAY & PUW  KOHLER",,,,,PCS
6443,KOHTHG00A005400A,"TH-G00.A00.5400A THG 3/4"" THERMOSTAT WITH 2VALVES WITH WAX KOHLER",,,,,PCS
6444,KOHTHG00H52487,"TH-G00.H52.487 METAL SKY SHWR 620X445 MM,HARD WATER PROTECTION KOHLER",,,,,PCS
6445,KOHTHG00H52661,"TH-G00.H52.661 THG WALL MTD MIRROR 2 FACES,200 MM DIA WALL DAM 3X KOHLER",,,,,PCS
6446,KOHTHG2PH52152,TH-G2P.H52.152 FROUFROU A MANETTES RIM MTD 3H BM & PUW-HIGH SPOUT KOHLER,,,,,PCS
