#,Item No.,Item Description,In Stock,Committed,Ordered,Available,Inventory UoM
81,ALAABM60,ARTEC BEIGE MATE PORCELAIN FLOOR 60X60-ALAPLANA SPAIN,0.36,,,0.36,M2
82,ALAACM60,ARTEC CHARCOAL MATE PORCELAIN FLOOR 60X60-ALAPLANA SPAIN,0.36,,,0.36,M2
83,ALAAMF33,AIRAM MADERA FLOOR 33.5X33.5 CM ALAPLANA -SPAIN,0.11,,,0.11,M2
84,ALAASM2550,ARTEC SNOW MATE 25X50 ALAPLANA SPAIN,0.13,,,0.13,M2
85,ALABB845,BERING BLANCO SKIRTING 8X45 CM ALAPLANA SPAIN,,,,,PCS
86,ALABBS845,BERING BEIGE SKIRTING 8X45 CM ALAPLANA SPAIN,1,,,1,PCS
87,ALABBW2570,BLANCO BRILLO 25X70 - WALL ALAPLANA - SPAIN,0.18,,,0.18,M2
88,ALABMS845,BERING MARRON SKIRTING 8X45 CM ALAPLANA SPAIN,589,,,589,PCS
89,ALABW3145,BLANCO WALL 31.6X45.2 CM ALAPLANA SPAIN,0.14,,,0.14,M2
90,ALACMF3131,CORFU MARFIL 31.6X31.6 -FLOOR - ALAPLANA- SPAIN,0.1,,,0.1,M2
91,ALACRF4545,COMBO RIVERS FLOOR TILES 45X45 CM - ALAPLANA SPAIN,,,,,M2
92,ALAGBB33,G.BASIC BLANCO FLOOR 33.3X33.3 CM- ALAPLANA SPAIN,0.11,,,0.11,M2
93,ALALMM2550,LIQUID MOUNTAIN MATE 25X50 ALAPLANA SPAIN,75.125,,,75.125,M2
94,ALAPDF60,PRETORIA DESERT PORCELAIN 60X60 CM ALAPLANA SPAIN,0.36,,,0.36,M2
95,ALAPDW3060,PRETORIA DESERT PORCELAIN WALL 30X60 CM ALAPLANA SPAIN,,,,,M2
96,ALAPEAC3MBM60,P.E. ANTID. C3 MILLS BEIGE MATE PORCELAIN FLOOR 60X60 RECT.(20MM) -ALAPLANA SPAIN,20.08,,,20.08,M2
97,ALAPOF60,PRETORIA OCEAN PORCELAIN 60X60 CM ALAPLANA SPAIN,,,,,M2
98,ALAPOW3060,PRETORIA OCEAN PORCEALIN WALL 30X60 CM ALAPLANA SPAIN,,,,,M2
99,ALARG31,RAPOLANO GRIS 31.6X31.6  ALAPLANA SPAIN,,,,,M2
100,ALASMF4545,SULU MARFIL 45X45 FLOOR - ALAPLANA SPAIN,,,,,M2
101,ALATB33,TOWN BLANCO 33.3X33.3 ALAPLANA SPAIN,0.11,,,0.11,M2
102,ALATC33,TOWN CREMA 33.3X33.3 ALAPLANA SPAIN,0.22,,,0.22,M2
103,ALBC408681,ANGLE VALVE C408681 1/2X1/2 ALBERTONI ITALY,331,,,331,PCS
104,ALBCBW3050,CALIZA BEIGE WALL 30X57 CM -ALBARO - SPAIN,0.18,,,0.18,M2
105,ALCCBF60,CITY BLANCO FLOOR 60X60 CM - ALCALA GRES SPAIN,,,,,M2
106,ALCCBS1060,CITY BLANCO SKIRTING 10X60 CM - ALCALA GRES SPAIN,,,,,PCS
107,ALCNAF60,NIZA ARENA PORCELAIN FLOOR 60X60 - ALCALAGRES SPAIN,,,,,M2
108,ALEGGGW1820,GEOM GOLD GLOSS WALL 18X20 CM ALEA SPAIN,3.6,,,3.6,M2
109,ALEGGMW1820,GEOM GOLD MATT WALL 18X20 CM ALEA SPAIN,2.84,,,2.84,M2
110,ALEGGTW1820,GEOM GOLD TEXT WALL 18X20 CM ALEA SPAIN,2.48,,,2.48,M2
